taxonomy_type,category,count,percent_of_all,percent_excluding_unknown,example_candidate_ids
primary_affected_phase,benchmark_or_eval_setup,123,26.00,26.06,github_issue::huggingface/lerobot::3264;github_issue::huggingface/lerobot::952;github_issue::huggingface/lerobot::259;github_issue::huggingface/lerobot::1271;github_issue::huggingface/lerobot::2605
primary_affected_phase,environment_reset,70,14.80,14.83,github_issue::huggingface/lerobot::3814;github_issue::huggingface/lerobot::2402;github_issue::huggingface/lerobot::2850;github_issue::huggingface/lerobot::3098;github_issue::huggingface/lerobot::2542
primary_affected_phase,runtime_or_dependency_setup,28,5.92,5.93,github_issue::huggingface/lerobot::2134;github_issue::huggingface/lerobot::2697;github_issue::huggingface/lerobot::3247;github_issue::facebookresearch/habitat-sim::1176;github_issue::mani-skill/ManiSkill::1369
primary_affected_phase,observation_processing,25,5.29,5.30,github_issue::huggingface/lerobot::2533;github_issue::huggingface/lerobot::3591;github_issue::huggingface/lerobot::2980;github_issue::huggingface/lerobot::3830;github_issue::huggingface/lerobot::1428
primary_affected_phase,metric_computation,18,3.81,3.81,github_issue::huggingface/lerobot::367;github_issue::huggingface/lerobot::470;github_issue::facebookresearch/habitat-sim::405;github_issue::mani-skill/ManiSkill::125;github_issue::mani-skill/ManiSkill::1390
primary_affected_phase,checkpoint_or_config_loading,17,3.59,3.60,github_issue::huggingface/lerobot::3252;github_issue::huggingface/lerobot::2731;github_issue::huggingface/lerobot::1406;github_issue::huggingface/lerobot::2354;github_issue::huggingface/lerobot::850
primary_affected_phase,data_loading_or_decoding,9,1.90,1.91,github_issue::huggingface/lerobot::1578;github_issue::huggingface/lerobot::1579;github_issue::huggingface/lerobot::2505;github_issue::huggingface/lerobot::43;github_issue::mani-skill/ManiSkill::1200
primary_affected_phase,ci_or_regression_testing,5,1.06,1.06,github_pr::facebookresearch/habitat-sim::2160;github_pr::allenai/vla-evaluation-harness::46;github_issue::facebookresearch/habitat-lab::75;github_issue::Farama-Foundation/Metaworld::113;github_pr::Farama-Foundation/Metaworld::238
primary_affected_phase,training_eval_boundary,5,1.06,1.06,github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::2407;github_issue::mani-skill/ManiSkill::882;github_issue::openvla/openvla::299;github_pr::openvla/openvla::334
primary_affected_phase,action_execution,3,0.63,0.64,github_issue::mani-skill/ManiSkill::1052;github_pr::allenai/vla-evaluation-harness::16;github_issue::stepjam/RLBench::211
primary_affected_phase,unknown_or_not_specified,1,0.21,,github_issue::huggingface/lerobot::2211
deviation_symptoms_multi,success_rate_drop_or_mismatch,162,29.19,33.40,github_issue::huggingface/lerobot::3633;github_issue::huggingface/lerobot::2533;github_issue::huggingface/lerobot::3252;github_issue::huggingface/lerobot::3264;github_issue::huggingface/lerobot::2853
deviation_symptoms_multi,evaluation_crash_or_failure,121,21.80,24.95,github_issue::huggingface/lerobot::3814;github_issue::huggingface/lerobot::2731;github_issue::huggingface/lerobot::2134;github_issue::huggingface/lerobot::745;github_issue::huggingface/lerobot::1271
deviation_symptoms_multi,rollout_behavior_anomaly,121,21.80,24.95,github_issue::huggingface/lerobot::3633;github_issue::huggingface/lerobot::2853;github_issue::huggingface/lerobot::3674;github_issue::huggingface/lerobot::3401;github_issue::huggingface/lerobot::1316
deviation_symptoms_multi,unknown_or_not_applicable,70,12.61,,github_issue::huggingface/lerobot::2407;github_issue::huggingface/lerobot::3830;github_issue::huggingface/lerobot::1578;github_issue::huggingface/lerobot::1579;github_issue::huggingface/lerobot::367
deviation_symptoms_multi,setup_sensitive_result,34,6.13,7.01,github_issue::huggingface/lerobot::2402;github_issue::huggingface/lerobot::2850;github_issue::huggingface/lerobot::2375;github_issue::huggingface/lerobot::515;github_issue::facebookresearch/habitat-sim::689
deviation_symptoms_multi,evaluation_instability_or_flakiness,23,4.14,4.74,github_issue::huggingface/lerobot::2386;github_pr::facebookresearch/habitat-sim::640;github_pr::facebookresearch/habitat-sim::2160;github_issue::mani-skill/ManiSkill::127;github_issue::mani-skill/ManiSkill::125
deviation_symptoms_multi,reproduction_failure,13,2.34,2.68,github_issue::huggingface/lerobot::259;github_issue::huggingface/lerobot::3228;github_issue::facebookresearch/habitat-sim::44;github_issue::Lifelong-Robot-Learning/LIBERO::16;github_issue::facebookresearch/habitat-lab::108
deviation_symptoms_multi,reward_score_metric_mismatch,11,1.98,2.27,github_issue::huggingface/lerobot::321;github_issue::mani-skill/ManiSkill::963;github_pr::allenai/vla-evaluation-harness::7;github_issue::facebookresearch/habitat-lab::889;github_issue::facebookresearch/habitat-lab::1746
factor_categories_multi,unknown_or_not_specified,159,30.34,,github_issue::huggingface/lerobot::3633;github_issue::huggingface/lerobot::3264;github_issue::huggingface/lerobot::3591;github_issue::huggingface/lerobot::2457;github_issue::huggingface/lerobot::1951
factor_categories_multi,dependency_runtime_environment,49,9.35,13.42,github_issue::huggingface/lerobot::2134;github_issue::huggingface/lerobot::470;github_issue::huggingface/lerobot::2697;github_issue::huggingface/lerobot::3247;github_issue::huggingface/lerobot::496
factor_categories_multi,simulator_physics_rendering,45,8.59,12.33,github_issue::huggingface/lerobot::259;github_issue::huggingface/lerobot::3098;github_issue::facebookresearch/habitat-sim::370;github_pr::facebookresearch/habitat-sim::821;github_pr::facebookresearch/habitat-sim::317
factor_categories_multi,evaluation_script_harness,42,8.02,11.51,github_issue::huggingface/lerobot::2407;github_issue::huggingface/lerobot::2114;github_issue::huggingface/lerobot::2850;github_issue::huggingface/lerobot::1271;github_issue::huggingface/lerobot::1428
