primary_deviation_symptom,unknown_or_not_specified,dependency_runtime_environment,simulator_physics_rendering,evaluation_script_harness,action_controller_interface,reset_or_initial_state,checkpoint_config_compatibility,observation_sensor_preprocessing,seed_or_randomness,object_scene_task_initialization,training_evaluation_interaction,evaluation_protocol_metric,data_dataset_format,ci_regression_evaluation,row_total
success_rate_drop_or_mismatch,63,13,5,8,9,3,12,9,0,3,6,6,3,1,141
evaluation_crash_or_failure,31,33,8,16,0,3,12,4,0,3,0,1,2,1,114
rollout_behavior_anomaly,44,0,12,1,21,3,1,5,1,0,4,0,2,0,94
unknown_or_not_applicable,1,2,8,5,3,15,3,9,10,5,3,4,2,0,70
setup_sensitive_result,6,0,2,3,0,3,0,0,3,2,0,0,1,0,20
evaluation_instability_or_flakiness,3,0,3,3,0,0,0,0,6,1,0,0,0,0,16
reward_score_metric_mismatch,4,0,2,0,1,0,0,0,0,0,0,1,1,0,9
reproduction_failure,1,0,3,0,0,1,0,0,2,0,0,1,1,0,9
